name_file,wood,thick,f0,tension_att,tension_res,anel_ref,drumskin_att,drumskin_res,hoop,recorded
0001.wav,copaiba,"5,5","113,66",60,60,True,SIMPLE,SIMPLE,STEEL,True
0002.wav,copaiba,"5,5",128947,70,60,True,SIMPLE,SIMPLE,STEEL,True
0003.wav,copaiba,"5,5",146026,80,60,True,SIMPLE,SIMPLE,STEEL,True
0004.wav,copaiba,"5,5",145066,85,60,True,SIMPLE,SIMPLE,STEEL,True
0005.wav,copaiba,"5,5",168321,85,70,True,SIMPLE,SIMPLE,STEEL,True
0006.wav,copaiba,"5,5",196875,85,80,True,SIMPLE,SIMPLE,STEEL,True
0007.wav,copaiba,"5,5",216176,85,85,True,SIMPLE,SIMPLE,STEEL,True
0008.wav,copaiba,"5,5",200455,80,85,True,SIMPLE,SIMPLE,STEEL,True
0009.wav,copaiba,"5,5",156383,70,85,True,SIMPLE,SIMPLE,STEEL,True
0010.wav,copaiba,"5,5",202294,60,85,True,SIMPLE,SIMPLE,STEEL,True
0011.wav,copaiba,"5,5",160949,60,80,True,SIMPLE,SIMPLE,STEEL,True
0012.wav,copaiba,"5,5",126,60,70,True,SIMPLE,SIMPLE,STEEL,True
0013.wav,copaiba,"5,5",140446,70,70,True,SIMPLE,SIMPLE,STEEL,True
0014.wav,copaiba,"5,5",147,70,80,True,SIMPLE,SIMPLE,STEEL,True
0015.wav,copaiba,"5,5",186864,80,80,True,SIMPLE,SIMPLE,STEEL,True
0016.wav,copaiba,"5,5","157,5",80,70,True,SIMPLE,SIMPLE,STEEL,True
0017.wav,araucaria,"5,5",113077,60,60,True,SIMPLE,SIMPLE,STEEL,True
0018.wav,araucaria,"5,5",125284,70,60,True,SIMPLE,SIMPLE,STEEL,True
0019.wav,araucaria,"5,5",132831,80,60,True,SIMPLE,SIMPLE,STEEL,True
0020.wav,araucaria,"5,5",134451,85,60,True,SIMPLE,SIMPLE,STEEL,True
0021.wav,araucaria,"5,5",168321,85,70,True,SIMPLE,SIMPLE,STEEL,True
0022.wav,araucaria,"5,5",195133,85,80,True,SIMPLE,SIMPLE,STEEL,True
0023.wav,araucaria,"5,5",216176,85,85,True,SIMPLE,SIMPLE,STEEL,True
0024.wav,araucaria,"5,5",182231,80,85,True,SIMPLE,SIMPLE,STEEL,True
0025.wav,araucaria,"5,5",169615,70,85,True,SIMPLE,SIMPLE,STEEL,True
0026.wav,araucaria,"5,5",158633,60,85,True,SIMPLE,SIMPLE,STEEL,True
0027.wav,araucaria,"5,5",156383,60,80,True,SIMPLE,SIMPLE,STEEL,True
0028.wav,araucaria,"5,5","131,25",60,70,True,SIMPLE,SIMPLE,STEEL,True
0029.wav,araucaria,"5,5",139557,70,70,True,SIMPLE,SIMPLE,STEEL,True
0030.wav,araucaria,"5,5",156383,70,80,True,SIMPLE,SIMPLE,STEEL,True
0031.wav,araucaria,"5,5","183,75",80,80,True,SIMPLE,SIMPLE,STEEL,True
0032.wav,araucaria,"5,5",158633,80,70,True,SIMPLE,SIMPLE,STEEL,True
0033.wav,teca,"5,5",117287,60,60,True,SIMPLE,SIMPLE,STEEL,True
0034.wav,teca,"5,5",123876,70,60,True,SIMPLE,SIMPLE,STEEL,True
0035.wav,teca,"5,5",134451,80,60,True,SIMPLE,SIMPLE,STEEL,True
0036.wav,teca,"5,5",143182,85,60,True,SIMPLE,SIMPLE,STEEL,True
0037.wav,teca,"5,5",147987,85,70,True,SIMPLE,SIMPLE,STEEL,True
0038.wav,teca,"5,5",169615,85,80,True,SIMPLE,SIMPLE,STEEL,True
0039.wav,teca,"5,5",206075,85,85,True,SIMPLE,SIMPLE,STEEL,True
0040.wav,teca,"5,5",186864,80,85,True,SIMPLE,SIMPLE,STEEL,True
0041.wav,teca,"5,5",195133,70,85,True,SIMPLE,SIMPLE,STEEL,True
0042.wav,teca,"5,5",153125,60,85,True,SIMPLE,SIMPLE,STEEL,True
0043.wav,teca,"5,5",144118,60,80,True,SIMPLE,SIMPLE,STEEL,True
0044.wav,teca,"5,5",129706,60,70,True,SIMPLE,SIMPLE,STEEL,True
0045.wav,teca,"5,5",139557,70,70,True,SIMPLE,SIMPLE,STEEL,True
0046.wav,teca,"5,5",164552,70,80,True,SIMPLE,SIMPLE,STEEL,True
0047.wav,teca,"5,5",179268,80,80,True,SIMPLE,SIMPLE,STEEL,True
0048.wav,teca,"5,5",146026,80,70,True,SIMPLE,SIMPLE,STEEL,True
0049.wav,teca,"5,5",113077,60,60,False,SIMPLE,SIMPLE,STEEL,True
0050.wav,teca,"5,5",126,70,60,False,SIMPLE,SIMPLE,STEEL,True
0051.wav,teca,"5,5",146026,80,60,False,SIMPLE,SIMPLE,STEEL,True
0052.wav,teca,"5,5",164552,85,60,False,SIMPLE,SIMPLE,STEEL,True
0053.wav,teca,"5,5",169615,85,70,False,SIMPLE,SIMPLE,STEEL,True
0054.wav,teca,"5,5",193421,85,80,False,SIMPLE,SIMPLE,STEEL,True
0055.wav,teca,"5,5",212019,85,85,False,SIMPLE,SIMPLE,STEEL,True
0056.wav,teca,"5,5",198649,80,85,False,SIMPLE,SIMPLE,STEEL,True
0057.wav,teca,"5,5",212019,70,85,False,SIMPLE,SIMPLE,STEEL,True
0058.wav,teca,"5,5",180738,60,85,False,SIMPLE,SIMPLE,STEEL,True
0059.wav,teca,"5,5",152069,60,80,False,SIMPLE,SIMPLE,STEEL,True
0060.wav,teca,"5,5",128198,60,70,False,SIMPLE,SIMPLE,STEEL,True
0061.wav,teca,"5,5",138679,70,70,False,SIMPLE,SIMPLE,STEEL,True
0062.wav,teca,"5,5",158633,70,80,False,SIMPLE,SIMPLE,STEEL,True
0063.wav,teca,"5,5",168321,80,80,False,SIMPLE,SIMPLE,STEEL,True
0064.wav,teca,"5,5",151027,80,70,False,SIMPLE,SIMPLE,STEEL,True
0065.wav,teca,"8,5",115445,60,60,False,SIMPLE,SIMPLE,STEEL,True
0066.wav,teca,"8,5",127457,70,60,False,SIMPLE,SIMPLE,STEEL,True
0067.wav,teca,"8,5",147,80,60,False,SIMPLE,SIMPLE,STEEL,True
0068.wav,teca,"8,5",151027,85,60,False,SIMPLE,SIMPLE,STEEL,True
0069.wav,teca,"8,5",172266,85,70,False,SIMPLE,SIMPLE,STEEL,True
0070.wav,teca,"8,5",193421,85,80,False,SIMPLE,SIMPLE,STEEL,True
0071.wav,teca,"8,5",210,85,85,False,SIMPLE,SIMPLE,STEEL,True
0072.wav,teca,"8,5",186864,80,85,False,SIMPLE,SIMPLE,STEEL,True
0073.wav,teca,"8,5",210,70,85,False,SIMPLE,SIMPLE,STEEL,True
0074.wav,teca,"8,5","183,75",60,85,False,SIMPLE,SIMPLE,STEEL,True
0075.wav,teca,"8,5",150,60,80,False,SIMPLE,SIMPLE,STEEL,True
0076.wav,teca,"8,5",128198,60,70,False,SIMPLE,SIMPLE,STEEL,True
0077.wav,teca,"8,5",140446,70,70,False,SIMPLE,SIMPLE,STEEL,True
0078.wav,teca,"8,5",156383,70,80,False,SIMPLE,SIMPLE,STEEL,True
0079.wav,teca,"8,5","183,75",80,80,False,SIMPLE,SIMPLE,STEEL,True
0080.wav,teca,"8,5",151027,80,70,False,SIMPLE,SIMPLE,STEEL,True
0081.wav,copaiba,"5,5",0,60,60,True,COATED,SIMPLE,STEEL,False
0082.wav,copaiba,"5,5",0,70,60,True,COATED,SIMPLE,STEEL,False
0083.wav,copaiba,"5,5",0,80,60,True,COATED,SIMPLE,STEEL,False
0084.wav,copaiba,"5,5",0,85,60,True,COATED,SIMPLE,STEEL,False
0085.wav,copaiba,"5,5",0,85,70,True,COATED,SIMPLE,STEEL,False
0086.wav,copaiba,"5,5",0,85,80,True,COATED,SIMPLE,STEEL,False
0087.wav,copaiba,"5,5",0,85,85,True,COATED,SIMPLE,STEEL,False
0088.wav,copaiba,"5,5",0,80,85,True,COATED,SIMPLE,STEEL,False
0089.wav,copaiba,"5,5",0,70,85,True,COATED,SIMPLE,STEEL,False
0090.wav,copaiba,"5,5",0,60,85,True,COATED,SIMPLE,STEEL,False
0091.wav,copaiba,"5,5",0,60,80,True,COATED,SIMPLE,STEEL,False
0092.wav,copaiba,"5,5",0,60,70,True,COATED,SIMPLE,STEEL,False
0093.wav,copaiba,"5,5",0,70,70,True,COATED,SIMPLE,STEEL,False
0094.wav,copaiba,"5,5",0,70,80,True,COATED,SIMPLE,STEEL,False
0095.wav,copaiba,"5,5",0,80,80,True,COATED,SIMPLE,STEEL,False
0096.wav,copaiba,"5,5",0,80,70,True,COATED,SIMPLE,STEEL,False
0097.wav,araucaria,"5,5",0,60,60,True,COATED,SIMPLE,STEEL,False
0098.wav,araucaria,"5,5",0,70,60,True,COATED,SIMPLE,STEEL,False
0099.wav,araucaria,"5,5",0,80,60,True,COATED,SIMPLE,STEEL,False
0100.wav,araucaria,"5,5",0,85,60,True,COATED,SIMPLE,STEEL,False
0101.wav,araucaria,"5,5",0,85,70,True,COATED,SIMPLE,STEEL,False
0102.wav,araucaria,"5,5",0,85,80,True,COATED,SIMPLE,STEEL,False
0103.wav,araucaria,"5,5",0,85,85,True,COATED,SIMPLE,STEEL,False
0104.wav,araucaria,"5,5",0,80,85,True,COATED,SIMPLE,STEEL,False
0105.wav,araucaria,"5,5",0,70,85,True,COATED,SIMPLE,STEEL,False
0106.wav,araucaria,"5,5",0,60,85,True,COATED,SIMPLE,STEEL,False
0107.wav,araucaria,"5,5",0,60,80,True,COATED,SIMPLE,STEEL,False
0108.wav,araucaria,"5,5",0,60,70,True,COATED,SIMPLE,STEEL,False
0109.wav,araucaria,"5,5",0,70,70,True,COATED,SIMPLE,STEEL,False
0110.wav,araucaria,"5,5",0,70,80,True,COATED,SIMPLE,STEEL,False
0111.wav,araucaria,"5,5",0,80,80,True,COATED,SIMPLE,STEEL,False
0112.wav,araucaria,"5,5",0,80,70,True,COATED,SIMPLE,STEEL,False
0113.wav,teca,"5,5",0,60,60,True,COATED,SIMPLE,STEEL,False
0114.wav,teca,"5,5",0,70,60,True,COATED,SIMPLE,STEEL,False
0115.wav,teca,"5,5",0,80,60,True,COATED,SIMPLE,STEEL,False
0116.wav,teca,"5,5",0,85,60,True,COATED,SIMPLE,STEEL,False
0117.wav,teca,"5,5",0,85,70,True,COATED,SIMPLE,STEEL,False
0118.wav,teca,"5,5",0,85,80,True,COATED,SIMPLE,STEEL,False
0119.wav,teca,"5,5",0,85,85,True,COATED,SIMPLE,STEEL,False
0120.wav,teca,"5,5",0,80,85,True,COATED,SIMPLE,STEEL,False
0121.wav,teca,"5,5",0,70,85,True,COATED,SIMPLE,STEEL,False
0122.wav,teca,"5,5",0,60,85,True,COATED,SIMPLE,STEEL,False
0123.wav,teca,"5,5",0,60,80,True,COATED,SIMPLE,STEEL,False
0124.wav,teca,"5,5",0,60,70,True,COATED,SIMPLE,STEEL,False
0125.wav,teca,"5,5",0,70,70,True,COATED,SIMPLE,STEEL,False
0126.wav,teca,"5,5",0,70,80,True,COATED,SIMPLE,STEEL,False
0127.wav,teca,"5,5",0,80,80,True,COATED,SIMPLE,STEEL,False
0128.wav,teca,"5,5",0,80,70,True,COATED,SIMPLE,STEEL,False
0129.wav,teca,"5,5",0,60,60,False,COATED,SIMPLE,STEEL,False
0130.wav,teca,"5,5",0,70,60,False,COATED,SIMPLE,STEEL,False
0131.wav,teca,"5,5",0,80,60,False,COATED,SIMPLE,STEEL,False
0132.wav,teca,"5,5",0,85,60,False,COATED,SIMPLE,STEEL,False
0133.wav,teca,"5,5",0,85,70,False,COATED,SIMPLE,STEEL,False
0134.wav,teca,"5,5",0,85,80,False,COATED,SIMPLE,STEEL,False
0135.wav,teca,"5,5",0,85,85,False,COATED,SIMPLE,STEEL,False
0136.wav,teca,"5,5",0,80,85,False,COATED,SIMPLE,STEEL,False
0137.wav,teca,"5,5",0,70,85,False,COATED,SIMPLE,STEEL,False
0138.wav,teca,"5,5",0,60,85,False,COATED,SIMPLE,STEEL,False
0139.wav,teca,"5,5",0,60,80,False,COATED,SIMPLE,STEEL,False
0140.wav,teca,"5,5",0,60,70,False,COATED,SIMPLE,STEEL,False
0141.wav,teca,"5,5",0,70,70,False,COATED,SIMPLE,STEEL,False
0142.wav,teca,"5,5",0,70,80,False,COATED,SIMPLE,STEEL,False
0143.wav,teca,"5,5",0,80,80,False,COATED,SIMPLE,STEEL,False
0144.wav,teca,"5,5",0,80,70,False,COATED,SIMPLE,STEEL,False
0145.wav,teca,"8,5",0,60,60,False,COATED,SIMPLE,STEEL,False
0146.wav,teca,"8,5",0,70,60,False,COATED,SIMPLE,STEEL,False
0147.wav,teca,"8,5",0,80,60,False,COATED,SIMPLE,STEEL,False
0148.wav,teca,"8,5",0,85,60,False,COATED,SIMPLE,STEEL,False
0149.wav,teca,"8,5",0,85,70,False,COATED,SIMPLE,STEEL,False
0150.wav,teca,"8,5",0,85,80,False,COATED,SIMPLE,STEEL,False
0151.wav,teca,"8,5",0,85,85,False,COATED,SIMPLE,STEEL,False
0152.wav,teca,"8,5",0,80,85,False,COATED,SIMPLE,STEEL,False
0153.wav,teca,"8,5",0,70,85,False,COATED,SIMPLE,STEEL,False
0154.wav,teca,"8,5",0,60,85,False,COATED,SIMPLE,STEEL,False
0155.wav,teca,"8,5",0,60,80,False,COATED,SIMPLE,STEEL,False
0156.wav,teca,"8,5",0,60,70,False,COATED,SIMPLE,STEEL,False
0157.wav,teca,"8,5",0,70,70,False,COATED,SIMPLE,STEEL,False
0158.wav,teca,"8,5",0,70,80,False,COATED,SIMPLE,STEEL,False
0159.wav,teca,"8,5",0,80,80,False,COATED,SIMPLE,STEEL,False
0160.wav,teca,"8,5",0,80,70,False,COATED,SIMPLE,STEEL,False
0161.wav,copaiba,"5,5",110804,60,60,True,SIMPLE,SIMPLE,ALUMINUM,True
0162.wav,copaiba,"5,5","122,5",70,60,True,SIMPLE,SIMPLE,ALUMINUM,True
